No,Section,Keywords,Purpose,Content Slots,Layout,Motion Recipe,Required States,Accessibility Notes,Common Failure,Copy Rule
11,bio-profile,"about, biography, founder, practitioner profile, chef story, the person, my story",Establish the individual's authority and character in depth,"h2, portrait, 150-300 word narrative, credential list, affiliations, languages, personal detail, CTA",Portrait and credential rail on one side; narrative on the other above 1024; portrait first on mobile,portrait-reveal plus text-fade; both static under reduced motion,"default, image-loading, reduced-motion",Portrait needs descriptive alt; credential list is a real list; avoid setting long biography text over an image,Third-person marketing prose that says nothing checkable,"Facts in the first paragraph, character in the second. Every qualification with the issuing institution and year"
12,gallery-immersive,"gallery, photos, lookbook, campus life, interiors, screens, carousel, showreel, portfolio images, selected work, selected projects, portfolio pieces, showcase grid",Let the visitor look for as long as they want,"h2 or none, 6-24 images with captions, optional lightbox, optional filter",Masonry or fixed-ratio grid; horizontal filmstrip only with keyboard controls; lightbox must be a proper dialog,image-scroll-parallax at low intensity or fade-in-on-approach; no motion under reduced motion,"default, image-loading, lightbox-open, lightbox-error, empty-filter, reduced-motion","Lightbox is a modal dialog with focus trap, Escape to close, and focus return; every image has alt text or is marked decorative",Twenty full-resolution JPEGs loaded eagerly and destroying LCP,"Captions carry information the image cannot: place, date, what is shown. No caption is better than a decorative caption"
13,webgl-showcase,"3d, webgl, glb, gltf, product 3d, three, r3f, model viewer, rotate, explode view",Let the visitor inspect a physical thing they cannot hold,"h2, canvas, hotspot annotations, variant or state controls, text description of everything the model shows",Canvas at a fixed aspect ratio with controls below on mobile and beside on desktop; never full-viewport on mobile,webgl-hero-orbit or webgl-scroll-scrub; poster image under reduced motion or no-WebGL,"poster, loading-progress, loaded, interacting, no-webgl, low-memory, load-error, reduced-motion","Canvas aria-hidden with an equivalent text description adjacent, or interactive with documented keyboard controls; never the only source of a fact",Model in the initial bundle with no poster so the section is empty for two seconds,"Describe in text what the model demonstrates. The 3D is evidence, the sentence is the claim"
14,spec-table,"specifications, specs, technical, dimensions, floor plan, rates, policies, data sheet, floor plan, floor plans, layout plan, carpet area, dimensions table",Answer the detail-oriented visitor completely in one place,"h2, grouped rows of label and value, units, footnotes, download link for the full sheet",Definition list on mobile; two-column table above 768; group headings for more than 12 rows,none beyond a single fade; tables should not animate,"default, long-value-wrap, download-unavailable","Real table semantics with scope on headers, or a description list; never a grid of divs; caption describes the table",A div grid that a screen reader reads as an undifferentiated word stream,Exact values with units. Mark estimates as estimates. Never publish a spec that has not been measured
15,comparison-table,"comparison, versus, alternatives, plan comparison, feature matrix",Help a visitor who is already comparing options do it fairly,"h2, criteria rows, 2-4 columns, honest 'not included' cells, footnote on methodology",Horizontally scrollable table with a sticky first column above 768; stacked per-option cards on mobile,none; fade-in only,"default, horizontal-scroll, reduced-motion","Sticky column must not overlap content at 200% zoom; icons for yes/no need text alternatives, not colour alone",Competitor rows that are inaccurate or out of date,"Compare on criteria the visitor cares about, including ones where you lose. Date the comparison and name the source"
16,pricing-tiers,"pricing, fees, plans, packages, rates, consultation fee, tuition, cost, pricing and availability, availability, rate card",Remove price uncertainty as an objection,"h2, 2-4 tiers with name, price, unit, inclusions, exclusions, CTA, tax and validity note",Cards side by side above 1024 and stacked on mobile with the recommended tier first on mobile,card-reveal-stagger; static under reduced motion,"default, hover, focus-visible, recommended-highlight, price-unavailable, reduced-motion",Recommended tier must be marked in text not by colour or size alone; currency and tax status in text,Prices displayed without currency or period so they are ambiguous,"Real prices with currency, tax status and validity date, or an honest range with what moves it. Never invent a price"
17,menu-list,"menu, dishes, food, drinks, wine list, courses, tasting, menu highlights, full menu, food menu, dish list, signature dishes",Let a diner picture the meal and its cost,"h2, category headings, items with name, description, price, dietary markers, allergen note",Two columns above 1024 with categories that do not split awkwardly; single column mobile,category-reveal-on-scroll; static under reduced motion,"default, item-unavailable, seasonal-note, reduced-motion",Dietary markers need text or an accessible name not only an icon colour; price associated with its item in the DOM,A PDF menu as the only version so it is unreadable on phones and invisible to search,"Item names as written by the kitchen, honest descriptions, current prices, explicit allergen guidance"
18,faq-objections,"faq, questions, objections, concerns, doubts, before you visit, common questions",Answer the reasons a visitor would not act,"h2, 5-10 question and answer pairs written as the visitor would ask them",Single column with a comfortable measure; accordion only above 6 items,accordion-height-transition using grid-template-rows; instant open under reduced motion,"default, expanded, collapsed, focus-visible, all-expanded-for-print, reduced-motion",Disclosure buttons with aria-expanded and aria-controls; content in the DOM for search engines; heading levels inside answers stay consistent,Marketing questions nobody asks instead of the real objections,"Use the visitor's actual words. Answer in the first sentence, elaborate in the second. Each answer must survive being quoted alone"
19,testimonial-quotes,"testimonials, reviews, quotes, client feedback, field stories, what people say",Let a comparable person vouch for the outcome,"h2, 2-6 quotes with attributed name, role or context, date, source link where public",Two or three columns above 1024; single column carousel on mobile with keyboard controls,quote-fade-stagger; static under reduced motion,"default, reduced-motion, source-unavailable, carousel-start-and-end","Blockquote with cite; carousels need previous/next buttons, arrow-key support and no autoplay under reduced motion",Unattributed quotes that read as invented because they are,"Only real, attributed, permitted quotes. No composites. Regulated professions may be barred from testimonials entirely"
20,press-mentions,"press, media, featured in, coverage, awards, recognition",Borrow credibility from named third parties,"h2, 3-8 items with publication, headline, date and link",Logo row or a compact list of linked headlines with dates,fade-in-stagger; static under reduced motion,"default, link-external, reduced-motion",External links marked in text; publication logos need alt text with the publication name,A 'featured in' wall linking to nothing,"Publication, headline, date, working link. An award needs the issuing body and year"
21,locations-map,"location, map, address, directions, hours, service area, getting here, branches, clinics, clinic locations, branches, consulting at, venue and travel, getting there, find us",Get a physical visitor to the door at a time you are open,"h2, address, hours by day, phone, directions link, map, parking and access notes, per-branch tabs when multiple",Address and hours as text beside the map above 1024; text first and map second on mobile,none; the map must not animate on scroll,"default, map-blocked (consent or ad-blocker), map-loading, closed-now, holiday-hours",Hours as a real table or list; map iframe needs a title and a text address fallback; never make the address image-only,Map iframe as the only address source so it fails without third-party consent,"Verified street address, verified hours including exceptions, an international-format phone number, plain-language access notes"
22,contact-action,"contact, book, enquire, apply, register, donate, download, waitlist, cta, get in touch, contact action, footer action, reservation action, enquiry action, cta action, book a table, get a quote",Convert intent into one unambiguous action,"h2, one-line reassurance, primary action, alternate channels, response-time promise, privacy note",Wide band with the action centred or a two-column layout with reassurance beside the control,cta-emphasis-on-approach at low intensity; static under reduced motion,"default, hover, focus-visible, submitting, success, failure-with-recovery, offline, rate-limited, reduced-motion",Form fields have persistent visible labels; errors are associated via aria-describedby and announced; success is announced in a live region; touch targets at least 44px,A form whose failure state loses the visitor's message,One primary action with one wording used everywhere. State the response time you can actually meet and what happens to the data
23,sticky-cta-bar,"sticky cta, floating button, mobile call bar, whatsapp button, persistent bar, floating action bar",Keep the primary action reachable during a long scroll,"one action label, optional secondary icon action, dismiss control",Fixed bottom bar on mobile appearing after the hero; inline header CTA on desktop,slide-in-after-hero; visible immediately without animation under reduced motion,"default, hidden-in-hero, dismissed, keyboard-focused, reduced-motion",Must not cover content: add matching bottom padding to the page; dismissible; focus order stays logical; never overlap the footer action,A floating bar that permanently covers the last line of the page and cannot be dismissed,Same verb as the main CTA. Never a different offer from the one above
24,nav-header,"navigation, header, navbar, anchors, sticky header, nav menu, mobile menu, site nav",Let the visitor jump to the section that answers their question,"logo or wordmark, 3-6 anchor links, one CTA, mobile menu",Anchor row above 1024; disclosure menu below; sticky with a compact state after scroll,header-compact-on-scroll; instant state change under reduced motion,"default, scrolled-compact, menu-open, current-section, focus-visible, reduced-motion",nav landmark; skip link to main content as the first focusable element; mobile menu traps focus while open and returns focus on close; current section marked with aria-current,Anchor links that land under the sticky header because scroll-margin-top was never set,"Label sections by what the visitor wants, not by internal naming. Six items maximum"
25,footer,"footer, site footer, contact footer, colophon, legal links",Close with contact facts and the legal surface,"contact block, address, hours, secondary links, social links, legal links, copyright, credits",Three or four columns above 1024 collapsing to a stack; contact block first on mobile,none,"default, link-external",contentinfo landmark; social icon links need accessible names; do not hide legal links behind an accordion on mobile,A footer that repeats navigation but omits the phone number and address,"Address, phone, email and hours in text. Copyright year generated, not hard-coded. Credits where assets require attribution"
26,legal-compliance,"legal, approvals, registration, disclaimer, privacy, transparency, financials, licence, privacy promise, data promise, how we use your data",Disclose what the visitor or the regulator is entitled to see,"h2, registration or approval numbers, disclaimers, policy links, document downloads with dates",Compact list or table; deliberately plain,none,"default, document-unavailable",Readable contrast — never grey-on-grey fine print; documents state format and size; disclaimers are not hidden behind a hover,Legal text set at 11px in low contrast so it is technically present and practically invisible,Exact registration numbers and issuing authorities. Never draft a legal claim on the client's behalf without their review
27,stockist-locator,"stockist, where to buy, retailers, distributors, availability, store locator",Send the visitor to a place that actually has the product,"h2, searchable list by city or region, store name, address, phone, map link, online retailer links",Filterable list with region grouping; simple text list beats an unnecessary map widget,list-filter-fade; instant filtering under reduced motion,"default, filtering, no-results-for-query, list-loading, reduced-motion",Filter is a labelled control; results count announced in a live region; no-results state suggests the next step,A map widget that fails without third-party scripts and leaves no list behind,Only stockists confirmed to carry the product. Include the date the list was last verified
28,media-embed,"video, audio, player, spotify, youtube, showreel, podcast, release, writing, talks, articles, speaking, publications, essays",Deliver the media without paying its full performance cost up front,"h2, poster image, play control, title, duration, transcript or caption link, platform links",Fixed aspect-ratio container reserving space before load,facade-click-to-load; no autoplay,"poster (facade), loading, playing, paused, error, blocked-by-consent, reduced-motion",Never autoplay with sound; captions for speech; player controls keyboard operable; transcript link adjacent,Embedding the full player iframe on load and importing 500KB of third-party script for a video most visitors never play,"Title, duration and what the media contains, so a visitor can decide before spending the bandwidth"
29,newsletter-signup,"newsletter, subscribe, updates, mailing list, follow, social",Create a low-commitment return path,"h2, one-line value promise, email field, submit, frequency statement, privacy note, social links",Inline single-field row above 768; stacked on mobile,none beyond focus and submit feedback,"default, focus-visible, invalid-email, submitting, success, duplicate, failure, rate-limited",Visible label or a clearly associated one; error text linked via aria-describedby; success announced; never label-by-placeholder,A subscribe box with no statement of what is sent or how often,Say what arrives and how often. No pre-ticked consent. Provide a real unsubscribe path
30,problem-statement,"problem, why now, the challenge, agitation, our approach, mission, context",Make the visitor recognise their situation before you offer anything,"h2, 60-140 words of specific situation, one supporting figure with source, transition line to the solution",Narrow measure centred or offset; deliberately quiet after a loud hero,text-line-reveal at low intensity; static under reduced motion,"default, reduced-motion",Keep the measure at 65-75 characters; do not set this over a photograph,Generic industry filler that could appear on any competitor's site,"Describe a situation the visitor has actually experienced, in concrete detail. No manufactured fear, no unsourced statistics"
