No,Recipe,Keywords,Intensity Tier,Trigger,Duration,Easing,Snippet,Reduced Motion End State,Cleanup,Performance Notes,Failure Mode
11,horizontal-scroll-section,"horizontal scroll, sideways, gallery scroll, carousel scrub",tier-4-spectacle,ScrollTrigger pin with scrub,scrub 1,none,"const track = document.querySelector('[data-track]'); gsap.to(track, { x: () => -(track.scrollWidth - innerWidth), ease: 'none', scrollTrigger: { trigger: '[data-hscroll]', pin: true, scrub: 1, end: () => '+=' + (track.scrollWidth - innerWidth), invalidateOnRefresh: true } });",Native horizontally scrollable overflow container with normal vertical page flow,"trigger.kill(true)",Use function-based end so it recalculates on resize. Provide a native scroll fallback below 768,"Keyboard users tab to an item inside the track and the browser scrolls the container, desynchronising the pin"
12,sticky-stack-cards,"stacked cards, card stack, layered scroll, overlap",tier-3-cinematic,ScrollTrigger per card,scrub,none,"gsap.utils.toArray('[data-stack] > *').forEach((card, i, arr) => { gsap.to(card, { scale: 0.94, opacity: i === arr.length - 1 ? 1 : 0.6, scrollTrigger: { trigger: card, start: 'top 12%', end: 'bottom top', scrub: true } }); });",Cards in normal document flow with margin separation,"kill all created triggers",position: sticky handles the layering; GSAP only handles scale and opacity,"Using JS to position the cards instead of sticky causes jitter on momentum scroll"
13,step-line-draw-scrub,"line draw, connector, svg path, process steps, progress line",tier-2-editorial,ScrollTrigger scrub,scrub 0.6,none,"const path = document.querySelector('[data-line]'); const len = path.getTotalLength(); gsap.fromTo(path, { strokeDasharray: len, strokeDashoffset: len }, { strokeDashoffset: 0, ease: 'none', scrollTrigger: { trigger: '[data-steps]', start: 'top 70%', end: 'bottom 70%', scrub: 0.6 } });",Path fully drawn with no dash offset,"trigger.kill()",The SVG connector is decorative and aria-hidden. Recompute length on resize if the path is responsive,"A dash offset left applied when the script errors leaves an invisible connector"
14,count-up-once,"counter, count up, numbers, stats, odometer",tier-1-restrained,ScrollTrigger once,1.2-1.6s,power1.out,"gsap.utils.toArray('[data-count]').forEach(el => { const end = Number(el.dataset.count); gsap.fromTo(el, { textContent: 0 }, { textContent: end, duration: 1.4, ease: 'power1.out', snap: { textContent: 1 }, scrollTrigger: { trigger: el, start: 'top 85%', once: true }, onUpdate: () => { el.textContent = Number(el.textContent).toLocaleString(); } }); });",Final value already in the HTML; skip the tween,"trigger.kill()",Render the final value server-side or in the markup and animate from it — never from an empty node,"aria-live on the counter makes a screen reader announce every intermediate number"
15,timeline-rail-scrub,"timeline, rail, milestones, history scrub, progress",tier-2-editorial,ScrollTrigger scrub plus per-entry once,scrub 0.5,none,"gsap.to('[data-rail-fill]', { scaleY: 1, transformOrigin: 'top', ease: 'none', scrollTrigger: { trigger: '[data-timeline]', start: 'top 60%', end: 'bottom 80%', scrub: 0.5 } });",Rail fully filled; entries visible,"trigger.kill()",Animate scaleY on a pseudo-rail rather than height to stay on the compositor,"Animating height forces layout on every scroll frame"
16,marquee-pausable,"marquee, ticker, logo strip, infinite scroll, running text",tier-2-editorial,continuous,20-40s loop,none,"const loop = gsap.to('[data-marquee-track]', { xPercent: -50, duration: 30, ease: 'none', repeat: -1 }); track.addEventListener('mouseenter', () => loop.pause()); pauseBtn.addEventListener('click', () => loop.paused(!loop.paused()));",Static wrapped row; no duplication of items,"loop.kill()",Duplicate the item list exactly once and translate by -50% for a seamless loop,"WCAG 2.2.2 requires a pause control for motion lasting over five seconds — an unpausable marquee is a conformance failure"
17,accordion-height-transition,"accordion, faq, disclosure, expand, collapse",tier-1-restrained,click,250-300ms,power2.out,"panel.style.gridTemplateRows = open ? '1fr' : '0fr'; /* CSS: .panel { display: grid; transition: grid-template-rows 280ms var(--ease); } .panel > div { overflow: hidden; }",Instant state change with transition: none,"remove listeners on unmount",grid-template-rows 0fr to 1fr animates to auto height without measuring in JS,"Animating max-height with a guessed value clips long answers or adds a lag before the collapse starts"
18,header-compact-on-scroll,"sticky header, shrink, compact nav, hide on scroll",tier-1-restrained,ScrollTrigger toggleClass,200ms,power1.out,"ScrollTrigger.create({ start: 'top -80', onEnter: () => header.classList.add('is-compact'), onLeaveBack: () => header.classList.remove('is-compact') });",Class toggle still applies; CSS transition disabled under the reduced-motion media query,"trigger.kill()",Toggle a class and let CSS transition padding/background — do not tween the header with GSAP every frame,"Hiding the header on scroll-down without restoring it on scroll-up strands keyboard users"
19,slide-in-after-hero,"sticky cta, floating bar, appear after hero, mobile call bar",tier-1-restrained,ScrollTrigger enter past hero,250ms,power2.out,"ScrollTrigger.create({ trigger: '[data-hero]', start: 'bottom top', onEnter: () => gsap.to(bar, { yPercent: 0, duration: 0.25, ease: 'power2.out' }), onLeaveBack: () => gsap.to(bar, { yPercent: 100, duration: 0.2 }) });",Bar visible from the start with no transform,"trigger.kill()",Add bottom padding equal to the bar height to the page so it never covers the footer action,"The bar is inert but still intercepts pointer events while translated offscreen if pointer-events is not managed"
20,cta-emphasis-on-approach,"cta emphasis, attention, glow, pulse, button highlight",tier-1-restrained,ScrollTrigger once,400ms,back.out(1.6),"gsap.from('[data-cta-band] .btn', { scale: 0.96, opacity: 0, duration: 0.4, ease: 'back.out(1.6)', scrollTrigger: { trigger: '[data-cta-band]', start: 'top 80%', once: true } });",Button at rest and fully visible,"trigger.kill()",One emphasis only. A pulsing CTA loop is a dark pattern and a distraction for cognitive accessibility,"Infinite pulse animations violate WCAG 2.2.2 and make the page feel like an advertisement"
21,list-filter-fade,"filter, list update, results, search, sort",tier-1-restrained,state change,200ms,power1.out,"const state = Flip.getState(items); applyFilter(); Flip.from(state, { duration: 0.35, ease: 'power1.out', absolute: true, onEnter: els => gsap.fromTo(els, { opacity: 0 }, { opacity: 1, duration: 0.2 }), onLeave: els => gsap.to(els, { opacity: 0, duration: 0.15 }) });",Immediate DOM update with no transition,"Flip state discarded automatically",Announce the result count in a polite live region regardless of animation,"Animating removal without removing the node from the accessibility tree leaves filtered-out items readable"
22,facade-click-to-load,"video facade, lazy embed, click to play, youtube placeholder, third party",foundation,click,none,none,"btn.addEventListener('click', () => { const f = document.createElement('iframe'); f.src = embedUrl + '?autoplay=1'; f.title = videoTitle; f.allow = 'autoplay; encrypted-media'; container.replaceChildren(f); }, { once: true });",Identical behaviour; the facade is not motion,"iframe removed on unmount",Saves 300-800KB of third-party script for every visitor who never plays the video,"Autoplay on the injected iframe without a user gesture is blocked and the visitor sees nothing happen"
23,webgl-hero-orbit,"3d orbit, product rotate, r3f, three, model spin, inspect",tier-4-spectacle,in view plus pointer drag,continuous or on demand,none,"<Canvas frameloop={active ? 'always' : 'demand'} dpr={[1, 2]} gl={{ antialias: true, powerPreference: 'high-performance' }}><Suspense fallback={null}><Model /><OrbitControls enablePan={false} enableZoom={false} autoRotate={active} autoRotateSpeed={0.6} /></Suspense></Canvas>","Render the poster image instead of the Canvas; do not mount the WebGL tree at all","useEffect cleanup: cancel autoRotate, dispose geometries and textures via useGLTF.clear",Gate mounting behind an IntersectionObserver and set frameloop to demand when not in view,"Mounting the Canvas on every route keeps a WebGL context alive and the tab burns GPU while hidden"
24,webgl-scroll-scrub,"3d scroll, model scrub, rotate on scroll, exploded view",tier-4-spectacle,ScrollTrigger scrub driving a ref,scrub 0.8,none,"useEffect(() => { const st = ScrollTrigger.create({ trigger: sectionRef.current, start: 'top top', end: '+=150%', scrub: 0.8, onUpdate: (self) => { modelRef.current.rotation.y = self.progress * Math.PI * 2; invalidate(); } }); return () => st.kill(); }, []);","Poster image at the composition of progress 0; the section becomes a normal static block","st.kill() plus dispose of the scene",Use frameloop demand plus invalidate() so frames render only when the scroll progress changes,"Driving three.js state from React state instead of a ref re-renders the whole tree on every scroll frame"
25,page-transition-curtain,"page transition, route change, curtain, wipe, overlay",tier-4-spectacle,route change,500-700ms,power4.inOut,"const tl = gsap.timeline(); tl.to('[data-curtain]', { scaleY: 1, transformOrigin: 'bottom', duration: 0.5, ease: 'power4.inOut' }).add(() => navigate(href)).to('[data-curtain]', { scaleY: 0, transformOrigin: 'top', duration: 0.5 });",Navigate immediately with no curtain,"tl.kill() if navigation is interrupted",Move focus to the new page heading after transition and announce the route change in a live region,"A curtain that delays navigation by 700ms makes every click feel broken and hides the real load time"
26,cursor-follow-spotlight,"custom cursor, magnetic, spotlight, pointer follow, hover glow",tier-4-spectacle,pointermove,continuous,none,"const xTo = gsap.quickTo('[data-cursor]', 'x', { duration: 0.4, ease: 'power3' }); const yTo = gsap.quickTo('[data-cursor]', 'y', { duration: 0.4, ease: 'power3' }); addEventListener('pointermove', e => { xTo(e.clientX); yTo(e.clientY); });","Disable entirely; keep the native cursor","remove listener; kill quickTo tweens","Only bind on (pointer: fine); never replace the native cursor on touch. quickTo avoids creating a tween per event","Hiding the native cursor with cursor: none removes the visitor's ability to see focus and hover targets"
